neh|82.0|711.0|263.0
nei|127.0|565.0|251.0
nej|84.0|401.0|233.0
nek|80.0|374.0|151.0
nel|80.0|408.0|152.0
nem|80.0|432.0|181.0
nen|80.0|256.0|144.0
neo|80.0|668.0|161.0
nep|80.0|817.0|140.0
neq|80.0|760.0|148.0
ner|80.0|259.0|131.0
nes|85.0|689.0|180.0
net|84.0|276.0|146.0
